antecedents,consequents,support,lift,confidence
['Hot pot Thai'],['Instant Noodles Pack'],0.005402425578831312,3.6189010487916096,0.1627906976744186
['Instant Noodles Cup'],['Instant Noodles Bowl'],0.006284454244762955,2.358444947264698,0.09777015437392796
['Instant Noodles Bowl'],['Instant Noodles Cup'],0.006284454244762955,2.358444947264698,0.15159574468085105
['Instant Noodles Pack'],['Instant Noodles Bowl'],0.005512679162072767,2.9561691697955776,0.12254901960784313
['Instant Noodles Bowl'],['Instant Noodles Pack'],0.005512679162072767,2.956169169795577,0.1329787234042553
['Instant Noodles Bowl'],['Sugar Tea'],0.005512679162072767,1.201311774179876,0.1329787234042553
['Sugar Tea'],['Instant Noodles Bowl'],0.005512679162072767,1.201311774179876,0.049800796812749
['Instant Noodles Pack'],['Instant Noodles Cup'],0.005071664829106946,1.7540275115191877,0.1127450980392157
['Instant Noodles Cup'],['Instant Noodles Pack'],0.005071664829106946,1.7540275115191875,0.07890222984562607
['Instant Noodles Cup'],['Instant Sausage'],0.010474090407938258,7.004544235162138,0.16295025728987994
['Instant Sausage'],['Instant Noodles Cup'],0.010474090407938258,7.004544235162138,0.4502369668246446
['Other Cuisine Sub'],['Instant Noodles Cup'],0.005622932745314222,0.8449739422070485,0.054313099041533544
['Instant Noodles Cup'],['Other Cuisine Sub'],0.005622932745314222,0.8449739422070485,0.08747855917667238
['Instant Noodles Cup'],['Purified water'],0.006284454244762955,1.03353764588756,0.09777015437392796
['Purified water'],['Instant Noodles Cup'],0.006284454244762955,1.03353764588756,0.06643356643356643
['Sugar CSD'],['Instant Noodles Cup'],0.005181918412348402,1.3796239360497105,0.08867924528301888
['Instant Noodles Cup'],['Sugar CSD'],0.005181918412348402,1.3796239360497105,0.08061749571183534
['Instant Noodles Cup'],['Sugar Tea'],0.008599779492833517,1.208647400107973,0.13379073756432247
['Sugar Tea'],['Instant Noodles Cup'],0.008599779492833517,1.208647400107973,0.07768924302788845
['Instant Noodles Pack'],['Instant Sausage'],0.00639470782800441,6.1107239104172475,0.14215686274509803
['Instant Sausage'],['Instant Noodles Pack'],0.00639470782800441,6.110723910417248,0.27488151658767773
['Sugar CSD'],['No/Less Sugar CSD'],0.005292171995589856,2.340267698758265,0.09056603773584905
['No/Less Sugar CSD'],['Sugar CSD'],0.005292171995589856,2.3402676987582645,0.13675213675213674
['Other Cuisine Sub'],['Onigiri'],0.00782800441014333,0.9686497836982488,0.07561235356762515
['Onigiri'],['Other Cuisine Sub'],0.00782800441014333,0.9686497836982488,0.10028248587570623
